item_basico,nome_produto,preco,preco_original,desconto_percentual,em_oferta,loja_market_id,categoria_id,codigo_barras,estoque,slug,url_produto,categoria_busca,fonte
oleo,FOLHA DE LOURO ISHASHI 5G,6.37,6.37,0.0,False,355,13799,7896244830052,26,louro-folha-ishashi-5g,https://mercadinhossaoluiz.com.br/produto/louro-folha-ishashi-5g,oleo,Mercadinho São Luiz
oleo,COMINHO ISHASHI EM PÓ 40G,7.36,7.36,0.0,False,355,13799,7896244830014,10,cominho-ishashi-em-po-40g,https://mercadinhossaoluiz.com.br/produto/cominho-ishashi-em-po-40g,oleo,Mercadinho São Luiz
oleo,CRAVO ISHASHI 20G,8.37,8.37,0.0,False,355,13799,7896244830038,17,cravo-da-india-ishashi-20g,https://mercadinhossaoluiz.com.br/produto/cravo-da-india-ishashi-20g,oleo,Mercadinho São Luiz
oleo,CANELA EM PÓ ISHASHI 40G,9.0,9.0,0.0,False,355,13799,7896244810030,28,canela-ishashi-po-40g,https://mercadinhossaoluiz.com.br/produto/canela-ishashi-po-40g,oleo,Mercadinho São Luiz
oleo,BICARBONATO DE SÓDIO ISHASHI 50G,6.09,6.09,0.0,False,355,13799,7896244810122,22,bicarbonato-sodio-ishashi-50g,https://mercadinhossaoluiz.com.br/produto/bicarbonato-sodio-ishashi-50g,oleo,Mercadinho São Luiz
oleo,MOLHO DE PIMENTA KNORR 150ML,10.2,10.2,0.0,False,355,13799,7891234000187,15,molho-de-pimenta-knorr-tradicional-150ml,https://mercadinhossaoluiz.com.br/produto/molho-de-pimenta-knorr-tradicional-150ml,oleo,Mercadinho São Luiz
oleo,TEMPERO COMPLETO ARISCO SEM PIMENTA 300G,9.46,9.46,0.0,False,355,13799,7891700011204,10,tempero-completo-arisco-sem-pimenta-300g,https://mercadinhossaoluiz.com.br/produto/tempero-completo-arisco-sem-pimenta-300g,oleo,Mercadinho São Luiz
oleo,MAIONESE HELLMANN`S TRADICIONAL POTE 250G,11.46,11.46,0.0,False,355,13799,7894000050027,30,maionese-hellmanns-tradicional-250g,https://mercadinhossaoluiz.com.br/produto/maionese-hellmanns-tradicional-250g,oleo,Mercadinho São Luiz
oleo,MAIONESE HELLMANN`S 500G,22.58,22.58,0.0,False,355,13799,7894000050034,62,maionese-hellmanns-tradicional-500g,https://mercadinhossaoluiz.com.br/produto/maionese-hellmanns-tradicional-500g,oleo,Mercadinho São Luiz
oleo,MAIONESE HELLMANN`S LIGHT 500G,22.58,22.58,0.0,False,355,13799,7894000050720,8,maionese-hellmanns-light-500g,https://mercadinhossaoluiz.com.br/produto/maionese-hellmanns-light-500g,oleo,Mercadinho São Luiz
oleo,MOLHO SAKURA MOLHEIRA PREMIUM 150ML,15.63,15.63,0.0,False,355,13799,7896007810017,2,molho-sakura-molheira-premium-150ml,https://mercadinhossaoluiz.com.br/produto/molho-sakura-molheira-premium-150ml,oleo,Mercadinho São Luiz
oleo,MOLHO SHOYU SAKURA TRADICIONAL 1L,37.95,37.95,0.0,False,355,13799,7896007801008,3,molho-shoyu-tradicional-sakura-pet-1l,https://mercadinhossaoluiz.com.br/produto/molho-shoyu-tradicional-sakura-pet-1l,oleo,Mercadinho São Luiz
oleo,MOLHO DE SOJA SAKURA LIGHT 150ML,15.63,15.63,0.0,False,355,13799,7896007810123,11,molho-de-soja-sakura-light-150ml,https://mercadinhossaoluiz.com.br/produto/molho-de-soja-sakura-light-150ml,oleo,Mercadinho São Luiz
oleo,MOSTARDA DIJON GREY POUPON AU VIN WHITE 215G,44.11,44.11,0.0,False,355,13799,3036810100576,1,mostarda-dijon-grey-white-215g,https://mercadinhossaoluiz.com.br/produto/mostarda-dijon-grey-white-215g,oleo,Mercadinho São Luiz
oleo,MOSTARDA GREY POUPON AL`ANCIENNE 210G,44.11,44.11,0.0,False,355,13799,3036810107025,1,mostarda-fra-grey-poupon-old-style-210g,https://mercadinhossaoluiz.com.br/produto/mostarda-fra-grey-poupon-old-style-210g,oleo,Mercadinho São Luiz
